file_name,production_number,plate_count,rivet,die,upper_type,upper_thickness,middle_type,middle_thickness,lower_type,lower_thickness,head_height,caption
SPR2_BG0G46E(DEHG14032)_SGACUD(0.9t)_A365.0(3.5t)_003.png,1st,2,BG0G46E,DEHG14032,SGACUD,0.9,,,A365.0,3.5,0.06822293163075285,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGACUD with 0.9 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is 0.0682 mm"
SPR2_BG0G46E(DEHG14032)_SGACUD(0.9t)_A365.0(3.5t)_004.png,1st,2,BG0G46E,DEHG14032,SGACUD,0.9,,,A365.0,3.5,0.10580582208489187,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGACUD with 0.9 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is 0.1058 mm"
SPR2_BG0G46E(DEHG14032)_SGACUD(0.9t)_A365.0(3.5t)_005.png,1st,2,BG0G46E,DEHG14032,SGACUD,0.9,,,A365.0,3.5,0.07487263875235793,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGACUD with 0.9 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is 0.0749 mm"
SPR2_BG0G46E(DEHG14032)_SGARC340(0.7t)_A365.0(3.5t)_001.png,1st,2,BG0G46E,DEHG14032,SGARC340,0.7,,,A365.0,3.5,0.032926970371611644,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is 0.0329 mm"
SPR2_BG0G46E(DEHG14032)_SGARC340(0.7t)_A365.0(3.5t)_002.png,1st,2,BG0G46E,DEHG14032,SGARC340,0.7,,,A365.0,3.5,0.09077721161795894,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is 0.0908 mm"
SPR2_BG0G46E(DEHG14032)_SGARC340(0.7t)_A365.0(3.5t)_003.png,1st,2,BG0G46E,DEHG14032,SGARC340,0.7,,,A365.0,3.5,0.08914807302231237,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is 0.0891 mm"
SPR2_BG0G46E(DEHG14032)_SGARC340(0.7t)_A365.0(3.5t)_004.png,1st,2,BG0G46E,DEHG14032,SGARC340,0.7,,,A365.0,3.5,0.05382210476293696,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is 0.0538 mm"
SPR2_BG0G46E(DEHG14032)_SGARC340(0.7t)_A365.0(3.5t)_005.png,1st,2,BG0G46E,DEHG14032,SGARC340,0.7,,,A365.0,3.5,0.06900630222596726,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is 0.0690 mm"
SPR2_BG0G46E(DEHG14032)_SGARC340(0.7t)_A365.0(3.5t)_006.png,1st,2,BG0G46E,DEHG14032,SGARC340,0.7,,,A365.0,3.5,0.06944518514568113,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is 0.0694 mm"
SPR2_BG0G46E(DEHG14032)_SGARC340E(0.7t)_A365.0(3.5t)_001.png,1st,2,BG0G46E,DEHG14032,SGARC340E,0.7,,,A365.0,3.5,0.09523216365816121,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340E with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is 0.0952 mm"
SPR2_BG0G46E(DEHG14032)_SGARC340E(0.7t)_A365.0(3.5t)_002.png,1st,2,BG0G46E,DEHG14032,SGARC340E,0.7,,,A365.0,3.5,0.03407457322551662,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340E with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is 0.0341 mm"
SPR2_BG0G46E(DEHG14032)_SGARC340E(0.7t)_A365.0(3.5t)_003.png,1st,2,BG0G46E,DEHG14032,SGARC340E,0.7,,,A365.0,3.5,-0.006819038804332922,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340E with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is -0.0068 mm"
SPR2_BG0G46E(DEHG14032)_SGARC340E(0.7t)_A365.0(3.5t)_004.png,1st,2,BG0G46E,DEHG14032,SGARC340E,0.7,,,A365.0,3.5,0.05358424420815901,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340E with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is 0.0536 mm"
SPR2_BG0G46E(DEHG14032)_SGARC340E(0.7t)_A365.0(3.5t)_005.png,1st,2,BG0G46E,DEHG14032,SGARC340E,0.7,,,A365.0,3.5,0.07666025067144136,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340E with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is 0.0767 mm"
SPR2_C50544A(DEHG14032)_SGACUD(0.9t)_A365.0(3.0t)_001.png,1st,2,C50544A,DEHG14032,SGACUD,0.9,,,A365.0,3.0,-0.047900448298077956,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type C50544A, die is omitted, but type DEHG14032, upper plate is dark blue and type SGACUD with 0.9 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is -0.0479 mm"
SPR2_C50544A(DEHG14032)_SGARC340(0.7t)_A365.0(3.5t)_001.png,1st,2,C50544A,DEHG14032,SGARC340,0.7,,,A365.0,3.5,-0.11311868686868685,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type C50544A, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is -0.1131 mm"
SPR3_BG0546E(DEHG14032)_SGARC340E(0.7t)_SGARC440(0.7t)_A365.0(3.5t)_001.png,1st,3,BG0546E,DEHG14032,SGARC340E,0.7,SGARC440,0.7,A365.0,3.5,-0.21494488179541563,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0546E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340E with 0.7 mm thickness, middle plate is yellow and type SGARC440 with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is -0.2149 mm"
SPR3_BG0546E(DEHG14032)_SGARC340E(0.7t)_SGARC440(0.7t)_A365.0(3.5t)_002.png,1st,3,BG0546E,DEHG14032,SGARC340E,0.7,SGARC440,0.7,A365.0,3.5,-0.26185526939730563,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0546E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340E with 0.7 mm thickness, middle plate is yellow and type SGARC440 with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is -0.2619 mm"
SPR3_BG0546E(DEHG14032)_SGARC340E(0.7t)_SGARC440(0.7t)_A365.0(3.5t)_003.png,1st,3,BG0546E,DEHG14032,SGARC340E,0.7,SGARC440,0.7,A365.0,3.5,-0.23915969457426958,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0546E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340E with 0.7 mm thickness, middle plate is yellow and type SGARC440 with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is -0.2392 mm"
SPR3_BG0546E(DEHG14032)_SGARC340E(0.7t)_SGARC440(0.7t)_A365.0(3.5t)_004.png,1st,3,BG0546E,DEHG14032,SGARC340E,0.7,SGARC440,0.7,A365.0,3.5,-0.2439894533571004,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0546E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340E with 0.7 mm thickness, middle plate is yellow and type SGARC440 with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is -0.2440 mm"
SPR3_BG0746E(DEHG14032)_SGARC340(0.7t)_A6N01(2.0t)_A365.0(3.0t)_001.png,1st,3,BG0746E,DEHG14032,SGARC340,0.7,A6N01,2.0,A365.0,3.0,0.13895913926499032,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0746E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, middle plate is yellow and type A6N01 with 2.0 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is 0.1390 mm"
SPR3_BG0746E(DEHG14032)_SGARC340(0.7t)_A6N01(2.0t)_A365.0(3.0t)_002.png,1st,3,BG0746E,DEHG14032,SGARC340,0.7,A6N01,2.0,A365.0,3.0,0.3173314564860859,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0746E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, middle plate is yellow and type A6N01 with 2.0 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is 0.3173 mm"
SPR3_BG0746E(DEHG14032)_SGARC340(0.7t)_A6N01(2.0t)_A365.0(3.0t)_003.png,1st,3,BG0746E,DEHG14032,SGARC340,0.7,A6N01,2.0,A365.0,3.0,0.19816691627074295,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0746E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, middle plate is yellow and type A6N01 with 2.0 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is 0.1982 mm"
SPR3_BG0746E(DEHG14032)_SGARC340(0.7t)_A6N01(2.0t)_A365.0(3.0t)_004.png,1st,3,BG0746E,DEHG14032,SGARC340,0.7,A6N01,2.0,A365.0,3.0,0.1496147026732133,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0746E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, middle plate is yellow and type A6N01 with 2.0 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is 0.1496 mm"
SPR3_BG0746E(DEHG14032)_SGARC340(0.7t)_A6N01(2.0t)_A365.0(3.0t)_005.png,1st,3,BG0746E,DEHG14032,SGARC340,0.7,A6N01,2.0,A365.0,3.0,0.05959352041430808,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0746E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, middle plate is yellow and type A6N01 with 2.0 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is 0.0596 mm"
SPR3_BG0746E(DEHG14032)_SGARC340(0.7t)_A6N01(2.0t)_A365.0(3.0t)_006.png,1st,3,BG0746E,DEHG14032,SGARC340,0.7,A6N01,2.0,A365.0,3.0,0.1910871879399746,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0746E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, middle plate is yellow and type A6N01 with 2.0 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is 0.1911 mm"
SPR3_BG0D46E(DEHG14032)_SGARC340(0.7t)_A6N01(2.0t)_A365.0(3.0t)_001.png,1st,3,BG0D46E,DEHG14032,SGARC340,0.7,A6N01,2.0,A365.0,3.0,0.04667420962607109,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0D46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, middle plate is yellow and type A6N01 with 2.0 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is 0.0467 mm"
SPR3_BG0D46E(DEHG14032)_SGARC340(0.7t)_A6N01(2.0t)_A365.0(3.0t)_002.png,1st,3,BG0D46E,DEHG14032,SGARC340,0.7,A6N01,2.0,A365.0,3.0,0.02653897326064382,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0D46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, middle plate is yellow and type A6N01 with 2.0 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is 0.0265 mm"
SPR3_BG0D46E(DEHG14032)_SGARC340(0.7t)_A6N01(2.0t)_A365.0(3.0t)_003.png,1st,3,BG0D46E,DEHG14032,SGARC340,0.7,A6N01,2.0,A365.0,3.0,0.04737528268133796,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0D46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, middle plate is yellow and type A6N01 with 2.0 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is 0.0474 mm"
SPR3_BG0D46E(DEHG14032)_SGARC340(0.7t)_A6N01(2.0t)_A365.0(3.0t)_004.png,1st,3,BG0D46E,DEHG14032,SGARC340,0.7,A6N01,2.0,A365.0,3.0,-0.06023331437473726,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0D46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, middle plate is yellow and type A6N01 with 2.0 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is -0.0602 mm"
SPR3_BG0D46E(DEHG14032)_SGARC340(0.7t)_A6N01(2.0t)_A365.0(3.0t)_005.png,1st,3,BG0D46E,DEHG14032,SGARC340,0.7,A6N01,2.0,A365.0,3.0,0.0343931076547728,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0D46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGARC340 with 0.7 mm thickness, middle plate is yellow and type A6N01 with 2.0 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is 0.0344 mm"
SPR3_BG0G46E(DEHG13598)_SABC1470(1.1t)_SGAFC590(0.7t)_A365.0(3.0t)_001.png,1st,3,BG0G46E,DEHG13598,SABC1470,1.1,SGAFC590,0.7,A365.0,3.0,0.15096474788041053,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, middle plate is yellow and type SGAFC590 with 0.7 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is 0.1510 mm"
SPR3_BG0G46E(DEHG13598)_SABC1470(1.1t)_SGAFC590(0.7t)_A6N01(2.5t)_001.png,1st,3,BG0G46E,DEHG13598,SABC1470,1.1,SGAFC590,0.7,A6N01,2.5,0.09231511521195127,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, middle plate is yellow and type SGAFC590 with 0.7 mm thickness, lower plate is orange and type A6N01 with 2.5 mm thickness, head height from rivet top to upper plate is 0.0923 mm"
SPR3_BG0G46E(DEHG13598)_SABC1470(1.1t)_SGAFC590(0.7t)_A6N01(3.0t)_001.png,1st,3,BG0G46E,DEHG13598,SABC1470,1.1,SGAFC590,0.7,A6N01,3.0,0.1405342686993043,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, middle plate is yellow and type SGAFC590 with 0.7 mm thickness, lower plate is orange and type A6N01 with 3.0 mm thickness, head height from rivet top to upper plate is 0.1405 mm"
SPR3_BG0G46E(DEHG13598)_SABC1470(1.1t)_SGAFC590(0.7t)_A6N01(3.0t)_002.png,1st,3,BG0G46E,DEHG13598,SABC1470,1.1,SGAFC590,0.7,A6N01,3.0,0.12556420682545513,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, middle plate is yellow and type SGAFC590 with 0.7 mm thickness, lower plate is orange and type A6N01 with 3.0 mm thickness, head height from rivet top to upper plate is 0.1256 mm"
SPR3_BG0G46E(DEHG13598)_SABC1470(1.1t)_SGAFC590(0.7t)_A6N01(3.0t)_003.png,1st,3,BG0G46E,DEHG13598,SABC1470,1.1,SGAFC590,0.7,A6N01,3.0,0.13396608450500969,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, middle plate is yellow and type SGAFC590 with 0.7 mm thickness, lower plate is orange and type A6N01 with 3.0 mm thickness, head height from rivet top to upper plate is 0.1340 mm"
SPR3_BG0G46E(DEHG13598)_SABC1470(1.1t)_SGAFC590(0.7t)_A6N01(3.0t)_004.png,1st,3,BG0G46E,DEHG13598,SABC1470,1.1,SGAFC590,0.7,A6N01,3.0,0.1258946664048308,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, middle plate is yellow and type SGAFC590 with 0.7 mm thickness, lower plate is orange and type A6N01 with 3.0 mm thickness, head height from rivet top to upper plate is 0.1259 mm"
SPR3_BG0G46E(DEHG13598)_SABC1470(1.1t)_SGAFC590(0.7t)_A6N01(3.0t)_005.png,1st,3,BG0G46E,DEHG13598,SABC1470,1.1,SGAFC590,0.7,A6N01,3.0,0.16253226156695727,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, middle plate is yellow and type SGAFC590 with 0.7 mm thickness, lower plate is orange and type A6N01 with 3.0 mm thickness, head height from rivet top to upper plate is 0.1625 mm"
SPR3_BG0G46E(DEHG13598)_SGACUD(0.7t)_SABC1470(1.1t)_A365.0(2.5t)_001.png,1st,3,BG0G46E,DEHG13598,SGACUD,0.7,SABC1470,1.1,A365.0,2.5,-0.08408328287529483,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SGACUD with 0.7 mm thickness, middle plate is yellow and type SABC1470 with 1.1 mm thickness, lower plate is orange and type A365.0 with 2.5 mm thickness, head height from rivet top to upper plate is -0.0841 mm"
SPR3_BG0G46E(DEHG13598)_SGACUD(0.7t)_SABC1470(1.1t)_A365.0(2.5t)_002.png,1st,3,BG0G46E,DEHG13598,SGACUD,0.7,SABC1470,1.1,A365.0,2.5,-0.07230900527180019,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SGACUD with 0.7 mm thickness, middle plate is yellow and type SABC1470 with 1.1 mm thickness, lower plate is orange and type A365.0 with 2.5 mm thickness, head height from rivet top to upper plate is -0.0723 mm"
SPR3_BG0G46E(DEHG13598)_SGACUD(0.7t)_SABC1470(1.1t)_A365.0(2.5t)_003.png,1st,3,BG0G46E,DEHG13598,SGACUD,0.7,SABC1470,1.1,A365.0,2.5,-0.11489378760575425,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SGACUD with 0.7 mm thickness, middle plate is yellow and type SABC1470 with 1.1 mm thickness, lower plate is orange and type A365.0 with 2.5 mm thickness, head height from rivet top to upper plate is -0.1149 mm"
SPR3_BG0G46E(DEHG13598)_SGACUD(0.7t)_SABC1470(1.1t)_A365.0(2.5t)_004.png,1st,3,BG0G46E,DEHG13598,SGACUD,0.7,SABC1470,1.1,A365.0,2.5,-0.1399827400958635,"a segmentation mask of self-piercing rivet consisting of 3 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SGACUD with 0.7 mm thickness, middle plate is yellow and type SABC1470 with 1.1 mm thickness, lower plate is orange and type A365.0 with 2.5 mm thickness, head height from rivet top to upper plate is -0.1400 mm"
